"Fadjar ditengah kabut",(1966),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Kini kau kembal",(1966),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Fadjar Menjingsing Dipermukaan Laut",(1966),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Sembilan",(1967),"",""
"Sendja di Djakarta",(1967),"",""
"Bimo kroda",(1967),"",""
"Petir sepandjang malam",(1967),"",""
"Kasih diambang maut",(1967),"",""
"Juda saba desa",(1967),"",""
"2 X 24 djam",(1967),"Thriller","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Jakarta-Hong Kong-Macau",(1968),"Action,Thriller","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Operation X",(1968),"Action,Thriller","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Ja Mualim",(1968),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Si djampang mentjari naga hitam",(1969),"Action","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Orang-orang Liar",(1969),"",""
"Apa Jang Kau Tjari, Palupi?",(1969),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Big Village",(1969),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Nji Ronggeng",(1969),"Drama,Romance","https://m.media-amazon.com/images/M/MV5BNzA0MmExYjctYWM3OC00OWI2LWI5ZjItYWY1ZTA3OTRjZDBjXkEyXkFqcGdeQXVyNDkyMzMyODM@._V1_UY98_CR1,0,67,98_AL_.jpg"
"Incontro d'amore",(1970),"Drama,Mystery,Romance","https://m.media-amazon.com/images/M/MV5BZTk3YTkzMWItMmM0OS00Yjk4LWFiZGItMjQzMjNiODM1NTllXkEyXkFqcGdeQXVyMTAxMDQ0ODk@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Bernapas dalam lumpur",(1970),"Drama","https://m.media-amazon.com/images/M/MV5BOTRjNWNiMDEtNmNiOC00N2JlLWIwZGYtMDI1YjZjNzdiNDgwXkEyXkFqcGdeQXVyMDYxMDYyOA@@._V1_UY98_CR1,0,67,98_AL_.jpg"
"Ananda",(1970),"",""
"Noda tak berampun",(1970),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Djalang",(1970),"Action","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Misteri di Borobudur",(1971),"Action,Fantasy","https://m.media-amazon.com/images/M/MV5BNzc2ZTk2YTItMTQwYS00NjJkLThkZmMtMzNlODk5OWZkNGJjXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY98_CR2,0,67,98_AL_.jpg"
"Tuan tanah Kedawung",(1971),"Action,Adventure","https://m.media-amazon.com/images/M/MV5BNmYxMDFjMDgtNjEyZC00ZjA4LTkyM2UtNTlkOWJkZmI5Nzc2XkEyXkFqcGdeQXVyMDYxMDYyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Lorong hitam",(1971),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Singa Betina dari Marunda",(1971),"Action","https://m.media-amazon.com/images/M/MV5BNDg0YmUzYmYtNzQ1MS00YTU5LWI5ODQtYTk2NDJiMTNkZjMxXkEyXkFqcGdeQXVyMDYxMDYyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Pengantin remaja",(1971),"",""
"Hostess Anita",(1971),"",""
"Rakit",(1971),"",""
"Lewat tengah malam",(1971),"",""
"Bengawan solo",(1971),"Drama","https://m.media-amazon.com/images/M/MV5BZGI2NzJjMzAtMzE4My00NWM5LThkYjAtNmI3M2NlMmFhMDQ4XkEyXkFqcGdeQXVyMDYxMDYyOA@@._V1_UY98_CR0,0,67,98_AL_.jpg"
"Jang djatuh dikaki lelaki",(1971),"",""
"Api dibukit menorah",(1971),"",""
"Malin kundang",(1971),"",""
"Kekasihku ibuku",(1971),"",""
"Biarkan musim berganti",(1971),"",""
"Biarlah aku pergi",(1971),"",""
"Tjisadane",(1971),"",""
"Panji tengkorak",(1971),"Action,Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Air Mata Kekasih",(1971),"Drama","https://m.media-amazon.com/images/M/MV5BZTEyMjU2MTYtZWY0My00NDdiLTllNWQtNzc4N2M3NmJjNzcwXkEyXkFqcGdeQXVyMDYxMDYyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg"
"La vergine di Bali",(1972),"Adventure","https://m.media-amazon.com/images/M/MV5BZjI4MjNmZTUtMWUwOC00ODg2LWIxMzYtZDU4ZjYwMDRiNWZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjUzNzQ4NDQ@._V1_UY98_CR2,0,67,98_AL_.jpg"
"Wajah seorang laki-laki",(1972),"",""
"Lem mien kuel",(1972),"Action,Adventure,Crime","https://m.media-amazon.com/images/M/MV5BOGU5NGE5YzQtMzJhYi00Nzg0LWJhNzMtYTg4NWNkZGIwNTQyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY98_CR3,0,67,98_AL_.jpg"
"Beranak dalam kubur",(1972),"Horror","https://m.media-amazon.com/images/M/MV5BY2Q4YzRlNzMtYWQ2Zi00YTEzLWE1MGUtYzAyMjc3NTAwYjMwXkEyXkFqcGdeQXVyMjQ0ODE4OTU@._V1_UY98_CR0,0,67,98_AL_.jpg"
